ev_bin,la_bin,train_mass,obs_mass,conditional_contribution
13,16,0.001799149147987927,0.00201398231987652,7.958303513962232e-05
13,17,0.0018118043588764704,0.0017993776464470545,0.00015583778766386412
13,18,0.002422418284248692,0.002203824915602585,0.0003386321468456502
13,19,0.002115529420201513,0.002187316863800319,0.00010140670244944084
13,20,0.0018371147806535574,0.0018654098536561208,-4.38788688943102e-06
13,21,0.002390780257027333,0.002864146987693247,5.4169584815435694e-08
13,22,0.0021355668374417073,0.002253349071009385,-6.163676011429415e-06
13,23,0.0012602480843174517,0.0020635064752833193,-1.6450456162610918e-07
14,0,0.00020564717693883104,0.00023936675113286505,-1.149033278644599e-05
14,1,0.0010851843336926008,0.0012050877815654585,-1.3658834967567018e-05
14,2,0.0019478478759283125,0.0019396960867663203,-3.867176421507479e-05
14,3,0.0015861197646974455,0.0016425511543255223,1.1797771198510856e-05
14,4,0.0019119914450774394,0.0020057282939753866,9.463662737486139e-05
14,5,0.002213607304587725,0.0018819179054583874,7.547812336779115e-05
14,6,0.0022041158964213174,0.002080014527085586,-3.163892361349123e-05
14,7,0.001887735624207731,0.0017415994651391216,4.1727167122952794e-05
14,8,0.0012697394924838592,0.0011225475225541256,-1.922573390962147e-05
14,9,0.0019889773113160787,0.0019974742680742533,-1.709068092428789e-05
14,10,0.001979485903149671,0.0017333454392379883,1.5484649551172346e-05
14,11,0.0020332705494259806,0.0017168373874357217,3.6676528748021745e-05
14,12,0.001289776909724053,0.0010482612894439263,-4.160384811850732e-05
14,13,0.0020575263702956887,0.0018406477759527209,-1.969023440016497e-05
14,14,0.0020533079666661745,0.0020965225788878526,6.860324682483757e-05
14,15,0.0013730903814069642,0.0014362005067971905,0.00012162583627285418
14,16,0.002082836792072776,0.0020882685529867192,0.0002598981878431691
14,17,0.002125020828367921,0.002104776604788986,0.00015498729077597728
14,18,0.002688177712908104,0.0028063688063853145,0.0003651870234561324
14,19,0.0023074667853444225,0.002344143355921851,0.0002177362270218562
14,20,0.0019752674995201567,0.0020882685529867192,8.765315201063141e-05
14,21,0.002508895558653739,0.0027485906250773813,4.515751305020432e-05
14,22,0.002062799374832582,0.002608272184758116,1.4276654175413814e-05
14,23,0.0010472187010269703,0.0018241397241504542,-6.957673857218106e-06
15,0,0.0001782275533469869,0.00016508051802266557,-9.406145904202722e-06
15,1,0.0008426261249955179,0.0009079428491246606,2.0510849745402415e-05
